dates,month,month_name,year,day,day_type,ride_type,distance,speed(kmph),elevation(m)
31,1,January,2016,Sun,weekend,workout,35,20.86,183
27,1,January,2016,Wed,weekday,commute,11,15.35,77
27,1,January,2016,Wed,weekday,commute,10,17.38,45
24,1,January,2016,Sun,weekend,workout,101,20.31,661
20,1,January,2016,Wed,weekday,commute,10,18.71,82
20,1,January,2016,Wed,weekday,commute,10,16.27,45
19,1,January,2016,Tue,weekday,commute,10,19.44,80
19,1,January,2016,Tue,weekday,commute,11,16.35,44
17,1,January,2016,Sun,weekend,workout,34,18.82,171
13,1,January,2016,Wed,weekday,commute,11,17.95,77
13,1,January,2016,Wed,weekday,commute,10,16.51,45
10,1,January,2016,Sun,weekend,workout,51,20.68,293
8,1,January,2016,Fri,weekday,commute,10,17.08,80
8,1,January,2016,Fri,weekday,commute,10,18.98,45
5,1,January,2016,Tue,weekday,commute,12,18.23,77
5,1,January,2016,Tue,weekday,commute,11,20.91,45
3,1,January,2016,Sun,weekend,errand,8,17.66,70
29,2,February,2016,Mon,weekday,commute,16,21.31,94
29,2,February,2016,Mon,weekday,commute,11,18.37,45
24,2,February,2016,Wed,weekday,commute,12,17.88,81
24,2,February,2016,Wed,weekday,commute,10,17.79,45
21,2,February,2016,Sun,weekend,workout,52,25.07,286
19,2,February,2016,Fri,weekday,commute,11,18.63,82
19,2,February,2016,Fri,weekday,commute,10,19.86,45
17,2,February,2016,Wed,weekday,commute,10,14.99,80
17,2,February,2016,Wed,weekday,commute,10,19.53,45
14,2,February,2016,Sun,weekend,workout,35,18.26,191
10,2,February,2016,Wed,weekday,commute,11,17.68,81
10,2,February,2016,Wed,weekday,commute,10,17.95,45
10,2,February,2016,Wed,weekday,errand,10,13.33,-
9,2,February,2016,Tue,weekday,commute,10,16.91,83
9,2,February,2016,Tue,weekday,commute,10,19.88,44
7,2,February,2016,Sun,weekend,workout,26,23.25,114
6,2,February,2016,Sat,weekend,leisure,12,16.27,-
4,2,February,2016,Thu,weekday,commute,10,17.12,81
4,2,February,2016,Thu,weekday,commute,10,18.14,45
2,2,February,2016,Tue,weekday,commute,10,20.07,80
2,2,February,2016,Tue,weekday,commute,11,17.68,44
28,3,March,2016,Mon,weekday,commute,15,17.47,93
28,3,March,2016,Mon,weekday,commute,11,18,-
27,3,March,2016,Sun,weekend,workout,107,22.66,672
22,3,March,2016,Tue,weekday,commute,11,16.82,79
22,3,March,2016,Tue,weekday,commute,10,17.96,44
19,3,March,2016,Sat,weekend,errand,9,18.6,52
15,3,March,2016,Tue,weekday,commute,11,15.3,78
15,3,March,2016,Tue,weekday,commute,11,19.47,44
13,3,March,2016,Sun,weekend,workout,34,23.13,201
11,3,March,2016,Fri,weekday,commute,16,17.41,95
11,3,March,2016,Fri,weekday,commute,10,17.91,45
7,3,March,2016,Mon,weekday,commute,11,20.55,66
7,3,March,2016,Mon,weekday,commute,11,22.34,45
27,4,April,2016,Wed,weekday,commute,12,17.5,77
27,4,April,2016,Wed,weekday,commute,10,19.6,44
24,4,April,2016,Sun,weekend,workout,42,24.8,244
21,4,April,2016,Thu,weekday,commute,12,18.9,75
21,4,April,2016,Thu,weekday,commute,11,20.4,45
19,4,April,2016,Tue,weekday,commute,12,16.1,80
19,4,April,2016,Tue,weekday,commute,11,28.6,44
17,4,April,2016,Sun,weekend,workout,37,24.67,-
13,4,April,2016,Wed,weekday,commute,12,21.86,75
13,4,April,2016,Wed,weekday,commute,10,18.69,45
11,4,April,2016,Mon,weekday,commute,12,19.62,76
11,4,April,2016,Mon,weekday,commute,10,20.76,44
10,4,April,2016,Sun,weekend,workout,35,22.01,199
7,4,April,2016,Thu,weekday,commute,10,18.12,72
7,4,April,2016,Thu,weekday,commute,10,17,45
5,4,April,2016,Tue,weekday,commute,12,18.89,75
5,4,April,2016,Tue,weekday,commute,10,17.3,45
3,4,April,2016,Sun,weekend,workout,35,24.09,185
18,5,May,2016,Wed,weekday,workout,39,23.3,197
15,5,May,2016,Sun,weekend,workout,37,23.1,191
10,5,May,2016,Tue,weekday,commute,12,18.9,74
10,5,May,2016,Tue,weekday,commute,10,17.7,44
1,5,May,2016,Sun,weekend,workout,40,23.3,194
28,6,June,2016,Tue,weekday,workout,37,21.7,184
19,6,June,2016,Sun,weekend,workout,49,22.8,278
13,6,June,2016,Mon,weekday,commute,13,16.5,74
13,6,June,2016,Mon,weekday,commute,10,19.5,45
12,6,June,2016,Sun,weekend,workout,43,19.8,219
5,6,June,2016,Sun,weekend,workout,39,22.5,182
3,6,June,2016,Fri,weekday,commute,12,16.9,77
3,6,June,2016,Fri,weekday,commute,10,19.5,45
31,7,July,2016,Sun,weekend,workout,38,21.8,198
28,7,July,2016,Thu,weekday,commute,12,14.1,76
28,7,July,2016,Thu,weekday,commute,10,16,44
23,7,July,2016,Sat,weekend,errand,11,13.8,69
23,7,July,2016,Sat,weekend,workout,41,22.6,253
17,7,July,2016,Sun,weekend,workout,51,23.8,306
14,7,July,2016,Thu,weekday,commute,13,20.6,74
14,7,July,2016,Thu,weekday,commute,10,18.7,45
12,7,July,2016,Tue,weekday,commute,12,18.9,74
12,7,July,2016,Tue,weekday,commute,10,17.5,45
24,8,August,2016,Wed,weekday,workout,30,23.3,157
18,8,August,2016,Thu,weekday,commute,11,17.1,82
18,8,August,2016,Thu,weekday,commute,11,17.8,44
16,8,August,2016,Tue,weekday,commute,11,17.4,76
16,8,August,2016,Tue,weekday,commute,11,14.9,44
14,8,August,2016,Sun,weekend,workout,29,17.6,160
7,8,August,2016,Sun,weekend,workout,128,22.3,793
5,8,August,2016,Fri,weekday,commute,12,14.8,75
5,8,August,2016,Fri,weekday,commute,10,17.9,44
28,9,September,2016,Wed,weekday,commute,11,17.7,76
28,9,September,2016,Wed,weekday,commute,12,16.6,45
21,9,September,2016,Wed,weekday,commute,12,16.6,74
21,9,September,2016,Wed,weekday,commute,11,18.7,45
19,9,September,2016,Mon,weekday,errand,6,16.8,-
18,9,September,2016,Sun,weekend,errand,6,17.1,46
18,9,September,2016,Sun,weekend,workout,50,23.1,-
16,9,September,2016,Fri,weekday,commute,12,17.1,78
16,9,September,2016,Fri,weekday,commute,11,17.1,45
12,9,September,2016,Mon,weekday,workout,49,20.7,326
11,9,September,2016,Sun,weekend,workout,6,22.5,-
11,9,September,2016,Sun,weekend,workout,45,22.4,249
31,10,October,2016,Mon,weekday,workout,104,24.2,646
23,10,October,2016,Sun,weekend,workout,52,22.8,299
16,10,October,2016,Sun,weekend,workout,115,23.7,754
9,10,October,2016,Sun,weekend,errand,36,20.4,194
5,10,October,2016,Wed,weekday,commute,12,15.2,77
5,10,October,2016,Wed,weekday,commute,10,18.8,45
2,10,October,2016,Sun,weekend,workout,101,24.1,648
13,11,November,2016,Sun,weekend,errand,6,22.3,36
10,11,November,2016,Thu,weekday,commute,12,16,73
10,11,November,2016,Thu,weekday,commute,10,18.5,45
6,11,November,2016,Sun,weekend,workout,51,23.5,-
3,11,November,2016,Thu,weekday,commute,12,15.4,79
3,11,November,2016,Thu,weekday,commute,10,16.8,45